video_id,likes,comments,views,shares_estimate
dQw4w9WgXcQ,18199165,2378907,1628360914,32567218.28
dQw4w9WgXcQ,18199168,2378907,1628360955,32567219.1
dQw4w9WgXcQ,18199171,2378908,1628360957,32567219.14
dQw4w9WgXcQ,18199173,2378908,1628363795,32567275.900000002
dQw4w9WgXcQ,18199178,2378910,1628364301,32567286.02
dQw4w9WgXcQ,18199190,2378911,1628367147,32567342.94
dQw4w9WgXcQ,18199191,2378911,1628367147,32567342.94
